variety,section,HPH,nanopaper,strip,weight,modulus_star,toughness_star,TI_star
Yemen,Stem,L,1,1,0.2502,4.64,0.48,55.30503597
Yemen,Stem,L,1,2,0.2495,4.89,0.5,53.68372846
Yemen,Stem,L,1,3,0.2533,4.55,0.61,58.68301125
Yemen,Stem,L,1,4,0.2487,4.67,0.35,50.39033776
Yemen,Stem,L,1,5,0.2494,4.67,0.49,54.40610064
Yemen,Stem,L,1,6,0.2509,4.58,0.33,50.76157832
Yemen,Stem,L,1,7,0.248,4.67,0.48,53.14372984
Yemen,Stem,L,1,8,0.252,4.4,0.42,53.50461607
Yemen,Stem,L,2,1,0.2522,4.47,0.51,54.52863402
Yemen,Stem,L,2,2,0.2501,5,0.63,58.44440224
Yemen,Stem,L,2,3,0.2499,4.95,0.53,55.18040816
Yemen,Stem,L,2,4,0.2487,4.84,0.66,57.92607358
Yemen,Stem,L,2,5,0.2501,4.54,0.56,55.21311076
Yemen,Stem,L,2,6,0.2557,4.65,0.8,62.21572937
Yemen,Stem,L,2,7,0.2478,4.96,0.56,55.71648305
Yemen,Stem,L,2,8,0.244,4.49,0.64,58.2615
Yemen,Stem,M,1,1,0.2508,5.81,1.06,69.95344199
Yemen,Stem,M,1,2,0.2526,5.66,1.32,71.57608076
Yemen,Stem,M,1,3,0.2536,5.36,1.5,73.3051597
Yemen,Stem,M,1,4,0.2525,6.14,1.58,74.60086634
Yemen,Stem,M,1,5,0.2499,6.08,1.32,72.527503
Yemen,Stem,M,1,6,0.2507,4.88,1.76,77.65940068
Yemen,Stem,M,1,7,0.2544,5.49,1.31,69.53839917
Yemen,Stem,M,1,8,0.2535,5.01,0.96,64.24511538
Yemen,Stem,M,2,1,0.2481,6.03,1.86,84.54130593
Yemen,Stem,M,2,2,0.2484,6.23,1.43,77.34543478
Yemen,Stem,M,2,3,0.2514,5.57,1.15,73.12374702
Yemen,Stem,M,2,4,0.2497,6.18,1.56,79.38240589
Yemen,Stem,M,2,5,0.2487,6.02,1.29,76.84518094
Yemen,Stem,M,2,6,0.252,6.32,1.99,84.84
Yemen,Stem,M,2,7,0.2546,5.79,1.68,81.2167989
Yemen,Stem,M,2,8,0.2538,5.83,1.54,79.47390957
Yemen,Stem,H,1,1,0.2354,8,1.56,88.2
Yemen,Stem,H,1,2,0.2337,6.93,1.26,84.5
Yemen,Stem,H,1,3,0.231,6.54,1.84,91.4
Yemen,Stem,H,1,4,0.2318,7.86,1.74,91.5
Yemen,Stem,H,1,5,0.2308,7.01,2.07,97.2
Yemen,Stem,H,1,6,0.2357,7.56,3.61,112.6
Yemen,Stem,H,1,7,0.2358,6.99,3.79,113.8
Yemen,Stem,H,1,8,0.2353,7.63,1.37,87.7
Yemen,Stem,H,2,1,0.2314,6.91,2.15,93.8
Yemen,Stem,H,2,2,0.2325,7.84,1.9,93
Yemen,Stem,H,2,3,0.229,6.48,3.18,107.1
Yemen,Stem,H,2,4,0.2316,7.27,2.65,100.4
Yemen,Stem,H,2,5,0.2341,7.51,2.48,99.8
Yemen,Stem,H,2,6,0.2342,7.65,2.82,104.4
Yemen,Stem,H,2,7,0.2346,7.78,2.57,99.2
Yemen,Stem,H,2,8,0.2325,7.14,1.8,91.2
Yemen,Stem,L,1,1,0.2269,4.23,1.22,80.77715183
Yemen,Stem,L,1,2,0.2274,4.8,1.46,86.89492084
Yemen,Stem,L,1,3,0.2307,4.88,1.58,87.82654096
Yemen,Stem,L,1,4,0.2285,5.09,1.56,87.87857987
Yemen,Stem,L,1,5,0.2291,5.08,1.6,87.99091008
Yemen,Stem,L,1,6,0.2295,5.16,1.44,85.07063725
Yemen,Stem,L,1,7,0.2299,4.57,1.46,86.56653328
Yemen,Stem,L,1,8,0.2286,5.02,1.61,86.92437992
Yemen,Stem,L,2,1,0.2223,5.44,1.35,85.09924089
Yemen,Stem,L,2,2,0.2256,5.28,1.51,89.26300532
Yemen,Stem,L,2,3,0.2296,4.9,1.29,87.86465592
Yemen,Stem,L,2,4,0.2275,5.14,1.33,89.55003956
Yemen,Stem,L,2,5,0.2305,5.23,0.99,80.47675054
Yemen,Stem,L,2,6,0.231,5.19,1.36,87.03179221
Yemen,Stem,L,2,7,0.2321,5.31,1.13,84.51362559
Yemen,Stem,L,2,8,0.2297,,,
Yemen,Stem,M,1,1,0.201,6.28,1.1,81.57254104
Yemen,Stem,M,1,2,0.1989,5.95,2.41,106.3218665
Yemen,Stem,M,1,3,0.2013,6.81,1.24,85.92046945
Yemen,Stem,M,1,4,0.1992,6.91,1.98,99.17922063
Yemen,Stem,M,1,5,0.1981,6.3,1.79,94.99002524
Yemen,Stem,M,1,6,0.1985,6.25,2.36,102.8353602
Yemen,Stem,M,1,7,0.1988,5.89,1.98,97.87490946
Yemen,Stem,M,1,8,0.1991,6.28,1.91,95.75001005
Yemen,Stem,M,2,1,0.1963,6.43,2.11,105.9337137
Yemen,Stem,M,2,2,0.1991,6.3,2.11,106.8508162
Yemen,Stem,M,2,3,0.1982,7.1,2.12,107.4162714
Yemen,Stem,M,2,4,0.1961,,,
Yemen,Stem,M,2,5,0.1998,6.51,1.62,100.0427703
Yemen,Stem,M,2,6,0.1947,6.29,1.85,104.6450385
