Sample_name,Variety,Replicate,Section,HPH,Morfi.Rep,fibre_n,fibre_cont,fibre_L,fibre_L.L,fibre_L3.L,fibre_A.L,fibre_W,fibre_course,fibre_kink.num,fibre_kink.ang,fibre_kink.cont,fibre_curl,MF.index,fibre_broken,fine_n,fine_cont,fine_cont.A,fine_cont.L,fine_cont.L.L,fine_A,fine_L
Yemen-2-Leaf-M,Yemen,2,Leaf,M,2,44944,41.203,260,379,525,364,15.9,0.0763,1.065,133.712,5.929,4.254,0.743,25.896,852690,751.729,50.166,72.598,64.412,715,36
Yemen-2-Leaf-M,Yemen,2,Leaf,M,3,46195,41.685,260,379,525,362,15.8,0.0754,1.082,133.921,5.857,4.244,0.764,25.857,875768,759.456,50.455,72.507,64.345,712,36
Yemen-2-Leaf-M,Yemen,2,Leaf,M,4,44224,41.766,260,379,525,362,15.9,0.0757,1.068,133.385,5.917,4.265,0.764,26.088,840756,764.987,49.956,72.543,64.355,707,36
Yemen-2-Leaf-H,Yemen,2,Leaf,H,1,26287,72.015,287,386,500,380,13,0.0394,1.091,134.335,12.72,4.607,0.447,18.467,251320,652.449,30.005,55.001,44.766,558,33
Yemen-2-Leaf-H,Yemen,2,Leaf,H,2,29066,69.62,286,386,501,381,13.1,0.041,1.087,134.062,12.781,4.712,0.481,18.453,276071,629.921,29.256,54.713,44.656,556,33
Yemen-2-Leaf-H,Yemen,2,Leaf,H,3,27491,70.886,287,386,500,381,13.1,0.0402,1.083,133.935,12.273,4.65,0.478,18.266,261294,641.522,29.668,54.56,44.498,554,33
Yemen-2-Leaf-H,Yemen,2,Leaf,H,4,26623,70.972,287,386,498,379,13.1,0.0402,1.09,134.214,12.778,4.626,0.493,18.931,253652,641.065,29.616,54.682,44.59,553,33
Yemen-1-Sheath-L,Yemen,1,Sheath,L,1,50056,33.503,264,394,569,391,18.6,0.0943,1.035,112.441,1.967,5.019,1.056,29.249,623501,400.223,42.297,66.463,56.659,941,42
Yemen-1-Sheath-L,Yemen,1,Sheath,L,2,50122,33.338,266,401,579,398,18.5,0.0938,1.05,111.772,1.945,5.045,1.097,29.33,622889,397.624,42.071,66.116,56.155,936,41
Yemen-1-Sheath-L,Yemen,1,Sheath,L,3,50107,34.258,266,401,579,399,18.8,0.0923,1.052,113.431,1.925,5.05,1.1,29.725,597796,393.827,41.732,65.589,55.228,948,42
Yemen-1-Sheath-L,Yemen,1,Sheath,L,4,50110,33.945,266,398,573,397,18.5,0.0922,1.034,111.894,1.979,5.03,1.097,29.38,618803,402.772,41.675,66.23,56.171,932,41
Yemen-1-Sheath-M,Yemen,1,Sheath,M,1,50115,35.803,278,405,566,405,17.9,0.0863,1.056,127.98,3.926,4.592,1.138,28.6,547658,375.434,36.748,61.292,51.018,814,39
Yemen-1-Sheath-M,Yemen,1,Sheath,M,2,50023,36.498,279,407,567,406,17.7,0.0841,1.053,129.18,3.915,4.545,1.135,28.436,552611,386.709,37.082,61.593,51.206,814,39
Yemen-1-Sheath-M,Yemen,1,Sheath,M,3,50100,35.988,278,404,560,399,18.1,0.0863,1.056,128.052,4.025,4.776,1.287,29.817,526836,362.606,34.514,60.33,50.291,824,39
Yemen-1-Sheath-M,Yemen,1,Sheath,M,4,50157,35.424,279,406,566,404,18.1,0.0869,1.039,127.599,3.899,4.786,1.281,30.024,537823,364.306,35.225,60.988,50.631,823,39
Yemen-1-Sheath-H,Yemen,1,Sheath,H,1,50150,45.936,268,374,506,376,16.7,0.0701,1.076,132.697,7.634,4.979,1.223,28.992,544557,479.89,32.151,60.13,51.009,689,36
Yemen-1-Sheath-H,Yemen,1,Sheath,H,2,50119,48.03,269,375,507,379,16.8,0.067,1.085,133.063,7.888,4.978,1.226,29.564,538737,497.591,31.25,59.643,50.751,689,36
Yemen-1-Sheath-H,Yemen,1,Sheath,H,3,50015,45.676,269,374,505,378,16.8,0.0704,1.075,133.26,7.67,4.965,1.283,28.763,548654,482.106,31.759,60.035,51.219,685,36
Yemen-1-Sheath-H,Yemen,1,Sheath,H,4,50030,46.614,268,374,507,376,16.6,0.0691,1.075,132.789,7.798,4.949,1.238,29.267,551085,493.612,32,60.239,51.28,683,36
Yemen-3-Stem(<1m)-L,Yemen,3,Stem(<1m),L,1,50088,27.613,243,342,490,347,25.1,0.1335,1.054,108.62,2.676,6.676,1.406,40.327,271965,143.774,22.889,50.118,39.991,941,42
Yemen-3-Stem(<1m)-L,Yemen,3,Stem(<1m),L,2,50035,26.634,244,344,493,347,25.1,0.1379,1.045,106.965,2.903,6.69,1.423,40.358,267393,136.895,22.258,49.254,39.438,940,42
Yemen-3-Stem(<1m)-L,Yemen,3,Stem(<1m),L,3,50063,26.845,243,340,482,344,25.2,0.1375,1.038,108.028,2.934,6.745,1.432,40.808,263002,135.452,21.9,49.114,39.335,946,42
Yemen-3-Stem(<1m)-L,Yemen,3,Stem(<1m),L,4,50015,28.204,244,343,488,348,25.1,0.1305,1.043,111.79,2.737,6.673,1.429,40.715,268132,144.847,22.126,49.3,39.489,931,42
Yemen-3-Stem(<1m)-M,Yemen,3,Stem(<1m),M,1,50213,30.531,240,332,465,336,23.2,0.1223,1.058,124.709,4.082,6.25,1.985,42.271,375109,219.8,23.592,55.903,46.638,798,39
Yemen-3-Stem(<1m)-M,Yemen,3,Stem(<1m),M,2,50148,31.637,241,335,473,340,23.1,0.1174,1.061,126.978,4.259,6.15,1.937,42.119,376162,228.915,23.816,55.92,46.531,800,39
Yemen-3-Stem(<1m)-M,Yemen,3,Stem(<1m),M,3,50153,31.52,240,332,464,337,23.1,0.1181,1.057,125.353,4.063,6.202,1.919,41.38,379827,229.244,24.068,55.894,46.989,803,39
Yemen-3-Stem(<1m)-M,Yemen,3,Stem(<1m),M,4,50016,32.018,241,336,480,341,22.9,0.116,1.058,126.288,4.173,6.083,1.794,40.782,391253,241.062,24.814,56.535,47.406,789,39
Yemen-3-Stem(<1m)-H,Yemen,3,Stem(<1m),H,1,35251,41.651,236,321,437,333,19.5,0.0876,1.078,131.047,5.76,5.403,1.844,36.625,580016,662.797,35.709,70.393,63.42,597,34
Yemen-3-Stem(<1m)-H,Yemen,3,Stem(<1m),H,2,33704,40.194,235,317,429,330,19.3,0.0912,1.076,131.665,5.851,5.383,1.798,36.166,559269,644.13,35.516,70.484,63.907,593,34
