Biomass,Section,Level,Morfi.Rep,fibre_n,fibre_cont,fibre_L,fibre_L.L,fibre_L3.L,fibre_A.L,fibre_W,fibre_course,fibre_kink.num,fibre_kink.ang,fibre_kink.cont,fibre_curl,MF.index,fibre_broken,fine_n,fine_cont,fine_cont.A,fine_cont.L,fine_cont.L.L,fine_A,fine_L
Sorghum,Sheath,L,3,50172,36.17,263,376,520,371,17.8,0.09,1.04,115.77,2.21,4.53,1.05,27.68,526202,363.58,41.2,63.42,54.08,963,42
Sorghum,Sheath,L,4,50023,36.86,260,368,503,362,17.5,0.09,1.04,117.2,1.94,4.43,1,27.48,537228,379.63,42.41,64.2,55.07,956,42
Sorghum,Sheath,M,1,50092,39.16,271,377,503,379,16.6,0.08,1.05,130.7,4.32,4.25,0.97,25.94,547518,411.02,37.08,61.42,52.61,785,38
Sorghum,Sheath,M,2,50030,40.45,273,381,511,382,16.7,0.08,1.05,129.9,4.38,4.3,1.04,26.63,541459,419.71,37.2,61.32,52.21,793,38
Sorghum,Sheath,M,3,50047,40.09,273,379,509,381,16.7,0.08,1.05,129.73,4.43,4.33,1.04,26.09,536763,412.42,36.51,60.81,52.11,792,38
Sorghum,Sheath,M,4,50047,41.14,273,380,511,382,16.8,0.08,1.06,129.91,4.41,4.37,1.05,26.78,536077,423.78,37,61.21,51.98,794,38
Sorghum,Sheath,H,1,50163,52.25,268,362,476,363,15.6,0.06,1.07,133.14,8.49,4.86,1.23,27.14,518878,520.05,29.83,58.38,50.11,647,35
Sorghum,Sheath,H,2,50009,51.75,268,362,474,363,15.6,0.06,1.07,132.28,8.41,4.82,1.22,26.88,523341,519.59,30.31,59.28,50.23,637,35
Sorghum,Sheath,H,3,50076,52.28,269,362,474,362,15.6,0.06,1.06,132.68,8.43,4.86,1.19,26.95,521456,524.02,29.39,58.28,50.17,645,35
Sorghum,Sheath,H,4,50044,51.24,268,360,473,362,15.6,0.06,1.06,133.06,8.19,4.84,1.23,26.9,527086,520.41,30.53,59.09,50.54,641,35
Sorghum,Stem(<1m),L,1,50117,30.38,242,345,503,366,23.1,0.12,1.04,111.2,2.46,5.67,1.36,36.88,274253,158.86,19.19,49.96,39.62,882,42
Sorghum,Stem(<1m),L,2,50130,30.21,242,343,497,362,23.2,0.12,1.04,110.52,2.58,5.78,1.35,37.39,275472,159.43,19.77,50.11,39.76,877,41
Sorghum,Stem(<1m),L,3,50158,29.97,241,339,483,357,23.4,0.12,1.05,109.69,2.41,5.79,1.42,37.51,271895,155.81,19.41,49.86,39.82,883,42
Sorghum,Stem(<1m),L,4,50061,31.76,242,343,494,363,23.3,0.11,1.04,108.97,2.49,5.77,1.35,37.17,272167,165.69,19.39,50.01,39.64,882,42
Sorghum,Stem(<1m),M,1,50047,35.68,249,349,492,355,21.3,0.1,1.06,122.7,3.14,5.42,1.7,38.37,310269,212.46,20.81,51.22,41.12,802,40
Sorghum,Stem(<1m),M,2,50094,35.28,249,350,496,356,21.4,0.1,1.05,122.49,3.14,5.52,1.77,38.6,304981,205.54,20.52,51.08,40.92,818,40
Sorghum,Stem(<1m),M,3,50028,36.17,249,350,495,356,21.5,0.1,1.05,122.42,3.33,5.52,1.76,39.28,303852,210.51,21.01,51.23,40.88,820,40
Sorghum,Stem(<1m),M,4,50014,35.54,249,350,491,357,21.2,0.1,1.04,121.05,3.11,5.4,1.73,37.99,311276,211.99,21.22,51.55,41.33,812,40
Sorghum,Stem(<1m),H,1,50077,46.2,247,339,467,351,18.8,0.08,1.1,128.99,6.11,5.46,1.9,35.71,612055,544.7,28.06,64.32,56.03,632,35
Sorghum,Stem(<1m),H,2,50010,45.34,245,336,459,348,18.9,0.08,1.08,129.18,5.79,5.43,1.95,35.93,613662,535.94,27.56,64.16,56.4,636,36
Sorghum,Stem(<1m),H,3,50096,42.83,246,336,459,348,19,0.08,1.09,128.36,5.87,5.48,1.95,36.05,619155,510.72,27.56,64.37,56.53,634,35
Sorghum,Stem(<1m),H,4,50019,44.93,246,338,461,352,18.9,0.08,1.1,129.83,6.02,5.41,1.93,35.76,616647,534.69,28,64.31,56.33,634,35
Sorghum,Stem(>1m),L,1,50156,44.79,238,326,455,328,18.2,0.08,1.04,114.35,2.27,4.44,1.33,29.36,337492,290.29,29.01,55.94,45.13,811,40
Sorghum,Stem(>1m),L,2,50081,44.88,238,323,446,325,18.3,0.08,1.04,114.69,2.23,4.44,1.29,29.19,337887,292.54,28.67,56.18,45.34,806,40
Sorghum,Stem(>1m),L,3,50077,43.42,238,324,446,326,18.3,0.08,1.04,116.09,2.31,4.47,1.35,29.48,341166,285.26,28.3,56.15,45.62,810,40
Sorghum,Stem(>1m),L,4,50131,43.7,238,324,449,327,18.1,0.08,1.04,116.27,2.33,4.45,1.3,29.08,344160,289.44,28.83,56.08,45.54,797,40
Sorghum,Stem(>1m),M,1,50161,50.86,242,326,443,326,17,0.07,1.05,126.78,3.22,4.28,1.34,27.8,324587,316.56,26.85,53.83,43.49,757,39
Sorghum,Stem(>1m),M,2,50171,48.35,242,326,442,327,17.3,0.07,1.04,123.43,3.51,4.45,1.44,28.41,320816,297.83,26.27,53.75,43.21,759,39
Sorghum,Stem(>1m),M,3,50099,52.08,241,324,438,323,17,0.07,1.06,123.97,3.26,4.35,1.36,27.96,327950,328.16,26.6,54.17,43.78,745,39
Sorghum,Stem(>1m),M,4,50044,47.63,243,327,440,327,17.1,0.07,1.05,124.36,3.3,4.39,1.42,27.4,324959,297.79,26.27,53.31,43.46,750,39
Sorghum,Stem(>1m),H,1,50197,60.45,242,323,432,325,16.2,0.06,1.06,130.74,5.79,4.68,1.43,29,395389,458.68,26.56,56.68,47.28,680,37
Sorghum,Stem(>1m),H,2,50071,58.62,242,319,423,323,16.1,0.06,1.06,129.68,5.75,4.66,1.39,28.62,400410,450.01,27.75,57.16,47.92,681,37
Sorghum,Stem(>1m),H,3,50099,58.74,242,319,418,321,16.1,0.06,1.07,130.94,5.76,4.66,1.42,29.05,400828,453.45,26.94,57.12,47.99,678,37
Sorghum,Stem(>1m),H,4,50117,59.43,241,322,437,328,15.9,0.06,1.06,129.74,5.49,4.56,1.37,28.36,403308,461.25,27.17,57.41,47.7,673,37
